query_type,duration
scan_id,0.01922
issue_flag,0.00215
sequence,0.0015
scan_id,0.001001
issue_flag,0.000502
sequence,0.0005
scan_id,0.001
issue_flag,0.000499
sequence,0.001002
scan_id,0.019647
issue_flag,0.003137
sequence,0.001504
scan_id,0.002083
issue_flag,0.001499
sequence,0.002001
scan_id,0.016059
issue_flag,0.002159
sequence,0.00158
scan_id,0.017415
issue_flag,0.002102
sequence,0.002298
scan_id,0.015498
issue_flag,0.001501
sequence,0.001498
scan_id,0.001
issue_flag,0.001
sequence,0.0005
scan_id,0.032717
issue_flag,0.002572
sequence,0.002272
scan_id,0.017313
issue_flag,0.001999
sequence,0.002499
scan_id,0.0015
issue_flag,0.000999
sequence,0.001
scan_id,0.000999
issue_flag,0.000562
sequence,0.000496
scan_id,0.000498
issue_flag,0.000498
sequence,0.000501
scan_id,0.018995
issue_flag,0.0015
sequence,0.002499
scan_id,0.032936
issue_flag,0.002607
sequence,0.002391
scan_id,0.018243
issue_flag,0.001546
sequence,0.002001
scan_id,0.024133
issue_flag,0.002107
sequence,0.002182
scan_id,0.017574
issue_flag,0.001895
sequence,0.001502
scan_id,0.015383
issue_flag,0.001587
sequence,0.001052
scan_id,0.014419
issue_flag,0.0015
sequence,0.002498
scan_id,0.001001
issue_flag,0.000999
sequence,0.001
scan_id,0.001
issue_flag,0.001
sequence,0.001
scan_id,0.001
issue_flag,0.001
sequence,0.000501
scan_id,0.031685
issue_flag,0.002112
sequence,0.001591
scan_id,0.01652
issue_flag,0.001999
sequence,0.003314
scan_id,0.000998
issue_flag,0.001001
sequence,0.000499
scan_id,0.000999
issue_flag,0.001001
sequence,0.001012
scan_id,0.001051
issue_flag,0.000956
sequence,0.001498
scan_id,0.033035
issue_flag,0.002291
sequence,0.002001
scan_id,0.013499
issue_flag,0.002499
sequence,0.003001
scan_id,0.001001
issue_flag,0.000999
sequence,0.000999
scan_id,0.014735
issue_flag,0.001566
sequence,0.001603
scan_id,0.015398
issue_flag,0.00208
sequence,0.001112
scan_id,0.034327
issue_flag,0.001848
sequence,0.002413
scan_id,0.014597
issue_flag,0.002393
sequence,0.001999
scan_id,0.002049
issue_flag,0.001618
sequence,0.001592
scan_id,0.015391
issue_flag,0.002013
sequence,0.0016
scan_id,0.016878
issue_flag,0.002115
sequence,0.001594
scan_id,0.00104
issue_flag,0.002001
sequence,0.001004
scan_id,0.038896
issue_flag,0.002095
sequence,0.001595
scan_id,0.000998
issue_flag,0.001001
sequence,0.000999
scan_id,0.016077
issue_flag,0.002842
sequence,0.001502
scan_id,0.016724
issue_flag,0.002136
sequence,0.001997
scan_id,0.035687
issue_flag,0.002091
sequence,0.002116
scan_id,0.002708
issue_flag,0.001002
sequence,0.001636
scan_id,0.037126
issue_flag,0.001778
sequence,0.001501
scan_id,0.001002
issue_flag,0.001327
sequence,0.000998
scan_id,0.04406
issue_flag,0.002001
sequence,0.002115
scan_id,0.001416
issue_flag,0.002154
sequence,0.001427
scan_id,0.016281
issue_flag,0.001949
sequence,0.001591
scan_id,0.014744
issue_flag,0.00253
sequence,0.001643
scan_id,0.001001
issue_flag,0.001002
sequence,0.000997
scan_id,0.017855
issue_flag,0.003077
sequence,0.001999
scan_id,0.001501
issue_flag,0.001066
sequence,0.002001
scan_id,0.01956
issue_flag,0.002499
sequence,0.0035
scan_id,0.028275
issue_flag,0.003676
sequence,0.002545
scan_id,0.001956
issue_flag,0.000974
sequence,0.000998
scan_id,0.014826
issue_flag,0.002126
sequence,0.001561
scan_id,0.015824
issue_flag,0.002367
sequence,0.001994
scan_id,0.012361
issue_flag,0.001572
sequence,0.002316
scan_id,0.014611
issue_flag,0.00184
sequence,0.002503
scan_id,0.035893
issue_flag,0.0015
sequence,0.001501
scan_id,0.012938
issue_flag,0.001613
sequence,0.001502
scan_id,0.014139
issue_flag,0.001503
sequence,0.001499
scan_id,0.017968
issue_flag,0.002091
sequence,0.00107
scan_id,0.001045
issue_flag,0.002334
sequence,0.001002
scan_id,0.014166
issue_flag,0.002107
sequence,0.001498
scan_id,0.017466
issue_flag,0.002117
sequence,0.001591
scan_id,0.016902
issue_flag,0.002096
sequence,0.002079
scan_id,0.014486
issue_flag,0.00152
sequence,0.001498
scan_id,0.03103
issue_flag,0.002101
sequence,0.002225
scan_id,0.031654
issue_flag,0.002324
sequence,0.002001
scan_id,0.014498
issue_flag,0.002
sequence,0.001502
scan_id,0.014156
issue_flag,0.001596
sequence,0.001576
scan_id,0.01593
issue_flag,0.001623
sequence,0.001089
scan_id,0.017385
issue_flag,0.001999
sequence,0.002501
scan_id,0.01563
issue_flag,0.002106
sequence,0.00159
scan_id,0.001049
issue_flag,0.001032
sequence,0.000527
scan_id,0.031881
issue_flag,0.001856
sequence,0.001501
scan_id,0.015013
issue_flag,0.002097
sequence,0.001903
scan_id,0.015002
issue_flag,0.001999
sequence,0.001999
scan_id,0.015
issue_flag,0.002
sequence,0.002499
scan_id,0.001002
issue_flag,0.000998
sequence,0.001001
scan_id,0.0155
issue_flag,0.002072
sequence,0.001614
scan_id,0.033481
issue_flag,0.00211
sequence,0.001574
scan_id,0.001051
issue_flag,0.001075
sequence,0.001
scan_id,0.031549
issue_flag,0.002086
sequence,0.002
scan_id,0.032858
issue_flag,0.00157
sequence,0.001908
scan_id,0.015001
issue_flag,0.001501
sequence,0.001999
scan_id,0.014501
issue_flag,0.001527
sequence,0.0015
scan_id,0.028237
issue_flag,0.002074
sequence,0.002001
scan_id,0.015021
issue_flag,0.001589
sequence,0.001579
scan_id,0.014911
issue_flag,0.0015
sequence,0.0015
scan_id,0.031425
issue_flag,0.002132
sequence,0.001576
scan_id,0.002361
issue_flag,0.000999
sequence,0.001
scan_id,0.015309
issue_flag,0.002104
sequence,0.002109
scan_id,0.015064
issue_flag,0.001808
sequence,0.0015
scan_id,0.014001
issue_flag,0.001998
sequence,0.001521
scan_id,0.03313
issue_flag,0.001993
sequence,0.0015
scan_id,0.001001
issue_flag,0.001
sequence,0.001498
scan_id,0.021973
issue_flag,0.002001
sequence,0.001523
scan_id,0.015242
issue_flag,0.001621
sequence,0.001095
scan_id,0.014463
issue_flag,0.002003
sequence,0.001519
scan_id,0.017
issue_flag,0.004077
sequence,0.019113
scan_id,0.032084
issue_flag,0.002463
sequence,0.002
scan_id,0.017561
issue_flag,0.002071
sequence,0.001731
scan_id,0.035176
issue_flag,0.001795
sequence,0.001517
scan_id,0.000498
issue_flag,0.000501
sequence,0.001001
scan_id,0.001498
issue_flag,0.001
sequence,0.000501
scan_id,0.024504
